time,open,high,low,close,Volume
2025-02-28 17:30:00+00:00,20698.0,20705.5,20536.75,20540.5,131172
2025-02-28 18:00:00+00:00,20540.75,20597.25,20483.75,20593.0,138279
2025-02-28 18:30:00+00:00,20592.75,20667.0,20539.5,20542.25,124243
2025-02-28 19:00:00+00:00,20541.75,20616.25,20537.25,20606.0,103730
2025-02-28 19:30:00+00:00,20606.25,20721.5,20588.75,20711.0,98357
2025-02-28 20:00:00+00:00,20711.5,20769.0,20688.5,20766.25,97782
2025-02-28 20:30:00+00:00,20766.75,20944.25,20683.25,20920.25,152851
2025-02-28 21:00:00+00:00,20920.25,20930.75,20868.25,20898.75,32818
2025-03-03 14:30:00+00:00,21055.75,21120.75,20824.25,20859.75,277885
2025-03-03 15:00:00+00:00,20838.0,20961.0,20759.75,20958.25,241489
2025-03-03 15:30:00+00:00,20958.5,20989.25,20847.75,20858.25,171065
2025-03-03 16:00:00+00:00,20858.5,20985.0,20858.5,20886.5,131029
2025-03-03 16:30:00+00:00,20887.0,20943.0,20831.5,20921.5,112707
2025-03-03 17:00:00+00:00,20921.75,20954.5,20900.5,20942.25,72466
2025-03-03 17:30:00+00:00,20942.25,20965.25,20821.5,20849.75,85504
2025-03-03 18:00:00+00:00,20849.75,20857.0,20675.5,20685.0,122749
2025-03-03 18:30:00+00:00,20685.5,20772.5,20652.75,20747.25,116040
2025-03-03 19:00:00+00:00,20747.25,20793.25,20702.25,20715.25,93440
2025-03-03 19:30:00+00:00,20715.0,20819.75,20598.75,20603.25,137479
2025-03-03 20:00:00+00:00,20603.5,20606.0,20361.25,20381.25,175266
2025-03-03 20:30:00+00:00,20380.75,20478.25,20317.5,20473.25,155768
2025-03-03 21:00:00+00:00,20473.25,20514.75,20464.5,20503.25,27103
2025-03-04 14:30:00+00:00,20342.5,20430.0,20227.75,20231.0,300829
2025-03-04 15:00:00+00:00,20230.75,20256.25,20075.75,20159.25,258531
2025-03-04 15:30:00+00:00,20158.75,20263.5,20133.75,20196.5,180452
2025-03-04 16:00:00+00:00,20197.5,20230.5,20108.75,20142.5,145092
2025-03-04 16:30:00+00:00,20141.75,20337.5,20139.25,20298.5,132429
2025-03-04 17:00:00+00:00,20299.0,20432.75,20265.75,20395.25,107739
2025-03-04 17:30:00+00:00,20395.25,20413.75,20318.0,20336.75,116508
2025-03-04 18:00:00+00:00,20337.5,20495.75,20312.0,20380.0,112169
2025-03-04 18:30:00+00:00,20380.0,20523.0,20350.5,20501.75,85410
2025-03-04 19:00:00+00:00,20500.25,20624.75,20498.0,20564.25,98231
2025-03-04 19:30:00+00:00,20563.75,20632.25,20537.5,20619.25,72715
2025-03-04 20:00:00+00:00,20619.0,20733.0,20598.75,20671.5,88731
2025-03-04 20:30:00+00:00,20671.75,20681.25,20324.0,20397.25,156027
2025-03-04 21:00:00+00:00,20396.75,20515.0,20394.75,20481.5,35293
2025-03-05 14:30:00+00:00,20421.25,20455.75,20270.25,20314.75,258240
2025-03-05 15:00:00+00:00,20318.75,20496.75,20299.5,20329.5,241069
2025-03-05 15:30:00+00:00,20330.0,20440.0,20311.75,20391.25,144263
2025-03-05 16:00:00+00:00,20390.75,20391.0,20252.0,20300.5,146920
2025-03-05 16:30:00+00:00,20300.25,20380.0,20215.0,20338.25,138810
2025-03-05 17:00:00+00:00,20337.25,20477.75,20331.0,20472.75,117357
2025-03-05 17:30:00+00:00,20473.0,20576.5,20440.0,20570.25,106393
2025-03-05 18:00:00+00:00,20570.5,20585.5,20446.5,20504.25,110824
2025-03-05 18:30:00+00:00,20505.25,20597.0,20448.5,20590.5,93670
2025-03-05 19:00:00+00:00,20590.5,20711.5,20558.0,20639.25,114309
2025-03-05 19:30:00+00:00,20640.0,20694.25,20598.5,20651.75,88459
2025-03-05 20:00:00+00:00,20651.0,20725.5,20605.75,20690.0,106849
2025-03-05 20:30:00+00:00,20690.25,20706.0,20602.5,20658.0,103979
2025-03-05 21:00:00+00:00,20658.75,20663.0,20577.0,20596.5,25497
2025-03-06 14:30:00+00:00,20311.0,20343.5,20228.25,20282.25,256347
2025-03-06 15:00:00+00:00,20282.25,20483.5,20253.5,20457.75,223404
2025-03-06 15:30:00+00:00,20458.25,20513.25,20385.75,20430.25,155735
2025-03-06 16:00:00+00:00,20430.5,20496.0,20348.75,20407.5,142880
2025-03-06 16:30:00+00:00,20407.0,20477.0,20246.25,20252.5,111470
2025-03-06 17:00:00+00:00,20252.25,20277.0,20127.25,20156.0,152988
2025-03-06 17:30:00+00:00,20156.5,20207.5,20090.5,20171.75,110612
2025-03-06 18:00:00+00:00,20171.5,20208.0,20123.25,20135.75,99475
2025-03-06 18:30:00+00:00,20136.0,20165.75,20042.0,20119.0,104597
2025-03-06 19:00:00+00:00,20118.75,20128.25,20008.0,20028.75,94939
2025-03-06 19:30:00+00:00,20028.5,20207.75,20002.75,20050.75,139035
2025-03-06 20:00:00+00:00,20050.5,20150.5,20026.75,20105.5,121799
2025-03-06 20:30:00+00:00,20105.75,20155.25,20040.75,20094.0,117070
2025-03-06 21:00:00+00:00,20094.0,20144.5,20077.0,20127.25,21151
2025-03-07 14:30:00+00:00,20037.25,20242.25,20024.25,20140.0,269582
2025-03-07 15:00:00+00:00,20139.5,20193.0,20042.75,20058.75,192867
2025-03-07 15:30:00+00:00,20058.5,20085.0,19887.5,20021.0,243212
